'	exclamation	lex112884.1_ἒ
καιροῦ	noun	lex30100.1_καιρός
καιροῦ	verb	lex30102.1_καιρόω
καιρίως	adjective	lex29723.1_καίριος
καιρὸν	noun	lex30100.1_καιρός
καιρὸς	noun	lex30100.1_καιρός
καιρόν	noun	lex30100.1_καιρός
καιρῶ	verb	lex30102.1_καιρόω
καιρῶ	noun	lex30100.1_καιρός
καιρῷ	noun	lex30100.1_καιρός
καιόμενον	verb	lex29728.1_καίω
καιόμενος	verb	lex29728.1_καίω
καιόμενον	verb	lex29728.1_καίω
κακ'	adjective	lex30456.1_κακός
κακά	adjective	lex30456.1_κακός
κακκείοντες	verb	lex31551.1_κατάκειμαι
Θάλητα	noun	lex2471.1_Θάλης
Θάλητα	noun	lex2541.1_Θαλήτας
Θάλπιος	noun	lex2475.1_Θάλπιος
Θάλπιος	noun	lex27213.1_θάλπος
κακκεῖαι	verb	lex30151.1_κακκάω
κακκεῖαι	verb	lex32203.1_κατακαίω
κακοήθως	adverb	lex30160.1_κακοήθης
κακοήχου	adjective	lex30410.1_κακόηχος
κακολογήσας	verb	lex30247.1_κακολογέω
κακομήχανε	adjective	lex30256.1_κακομήχανος
κακοπαθήσειν	verb	lex30283.1_κακοπαθέω
κακοπαθίας	noun	lex30285.1_κακοπαθία
κακοπαθίας	noun	lex30280.1_κακοπάθεια
κακοπαθείας	noun	lex30280.1_κακοπάθεια
κακοπαθείᾳ	noun	lex30280.1_κακοπάθεια
κακοπαθείας	noun	lex30280.1_κακοπάθεια
κακοπαθεῖν	verb	lex30283.1_κακοπαθέω
κακοπαθῆσαι	verb	lex30283.1_κακοπαθέω
κακοσύνθετος	adjective	lex30342.1_κακοσύνθετος
κακοφωνίᾳ	noun	lex30382.1_κακοφωνία
κακοῖς	verb	lex30485.1_κακόω
κακοῖς	adjective	lex30456.1_κακός
κακοῦ	adjective	lex30456.1_κακός
κακοῦ	verb	lex30485.1_κακόω
κακόμαντι	noun	lex30423.1_κακόμαντις
κακόν	adjective	lex30456.1_κακός
κακός	adjective	lex30456.1_κακός
κακόφρονος	adjective	lex30481.1_κακόφρων
κακόφωνόν	adjective	lex30482.1_κακόφωνος
κακώσειεν	verb	lex30485.1_κακόω
κακώσεως	noun	lex29231.1_κάκωσις
κακὰ	adjective	lex30456.1_κακός
κακὰς	adjective	lex30456.1_κακός
κακὲ	adjective	lex30456.1_κακός
κακὸν	adjective	lex30456.1_κακός
κακὸς	adjective	lex30456.1_κακός
κακόν	adjective	lex30456.1_κακός
κακόφωνον	adjective	lex30482.1_κακόφωνος
κακὼ	adjective	lex30456.1_κακός
κακῶ	verb	lex30485.1_κακόω
κακῶ	adjective	lex30456.1_κακός
κακῶ	verb	lex30110.1_κακάζω
κακῶν	noun	lex29217.1_κάκη
κακῶν	verb	lex30110.1_κακάζω
κακῶν	verb	lex30485.1_κακόω
κακῶν	adjective	lex30456.1_κακός
κακῶς	adjective	lex30456.1_κακός
κακῶς	verb	lex30485.1_κακόω
κακῶσ	verb	lex30485.1_κακόω
κακῶσ	adjective	lex30456.1_κακός
κακῷ	verb	lex30110.1_κακάζω
κακῷ	adjective	lex30456.1_κακός
καλά	adjective	lex30879.1_καλός
καλάμινα	adjective	lex30497.1_καλάμινος
καλέουσι	verb	lex30505.1_καλέω
καλέσαντας	verb	lex30505.1_καλέω
καλέσαντες	verb	lex30505.1_καλέω
καλέσειε	verb	lex30505.1_καλέω
καλή	adjective	lex29277.1_κάλως
καλαῖς	adjective	lex30879.1_καλός
καλεῖ	verb	lex30505.1_καλέω
καλεῖν	verb	lex30505.1_καλέω
καλεῖσθαι	verb	lex30505.1_καλέω
καλεῖται	verb	lex30505.1_καλέω
καλεῖται+	verb	lex30505.1_καλέω
καλεῦντο	verb	lex30505.1_καλέω
καλιάς	noun	lex30611.1_καλιά
καλιάς	noun	lex30613.1_καλιάς
καλλίροον	adjective	lex30670.1_καλλίρους
καλλίροον	adjective	lex30669.1_καλλίροος
καλλίστοις	adjective	lex30879.1_καλός
καλλείψειν	verb	lex32418.1_καταλιμπάνω
καλλιεργίαν	noun	lex30726.1_καλλιεργία
καλλικολώνη	noun	lex30734.1_καλλικολώνη
καλλιπάρηον	adjective	lex30749.1_καλλιπάρηος
καλλιπαρήω	adjective	lex30749.1_καλλιπάρηος
καλλιπλοκάμῳ	noun	lex30754.1_καλλιπλόκαμος
καλλονῆς	noun	lex30785.1_καλλονή
καλλωπίζεσθαι	verb	lex30790.1_καλλωπίζω
καλλωπισμῶν	noun	lex30792.1_καλλωπισμός
καλουμένη	verb	lex30505.1_καλέω
καλουμένην	verb	lex30505.1_καλέω
καλουμένης	verb	lex30505.1_καλέω
καλουμένου	verb	lex30505.1_καλέω
καλουμένους	verb	lex30505.1_καλέω
καλουμένων	verb	lex30505.1_καλέω
